symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
MCX,2026-01-27,2026-01-28,2362.221443155772,2542.6643294673154,84,target,NIFTY MS FIN SERV,15157.202450169661,7.638694790209155,1,ha_ema21_touch,2272.0,n/a
IOC,2026-02-03,2026-02-06,165.56539999999998,178.59619999999993,1231,target,NIFTY OIL AND GAS,16040.91479999993,7.8704850167969465,3,ha_ema21_touch,159.05,n/a
TORNTPHARM,2026-02-03,2026-02-16,4022.5184999999997,4259.755499999999,50,target,NIFTY PHARMA,11861.84999999998,5.897723030981705,13,ha_ema21_touch,3903.9,n/a
PETRONET,2026-02-03,2026-02-25,291.7915,313.37449999999995,695,target,NIFTY OIL AND GAS,15000.18499999998,7.396719918160732,22,ha_ema21_touch,281.0,n/a
TVSMOTOR,2026-02-09,2026-03-04,3776.7729999999997,3667.1,54,stop,NIFTY AUTO,-5922.341999999988,-2.90388117051249,23,ha_ema21_touch,3667.1,initial
AXISBANK,2026-02-03,2026-03-09,1354.0527,1282.2,149,stop,NIFTY PVT BANK,-10706.052299999987,-5.306492132839436,34,ha_ema21_touch,1302.9,initial
SUNPHARMA,2026-03-05,2026-03-11,1758.9571999999998,1834.8715999999995,120,target,NIFTY PHARMA,9109.72799999996,4.315875337955899,6,ha_ema21_touch,1721.0,n/a
GLENMARK,2026-03-06,2026-03-11,2121.0189,2278.6567,100,target,NIFTY MIDSML HLTH,15763.779999999997,7.4321732823785736,5,ha_ema21_touch,2042.2,n/a
APOLLOHOSP,2026-03-05,2026-03-16,7746.992198744886,7476.0,27,stop,NIFTY HEALTHCARE,-7316.789366111924,-3.498031129924084,11,ha_ema21_touch,7476.0,initial
BEL,2026-02-03,2026-03-23,441.79134999999997,420.25,459,stop,NIFTY IND DEFENCE,-9887.479649999985,-4.875910313771414,48,ha_ema21_touch,420.25,initial
AUROPHARMA,2026-03-10,2026-04-21,1253.0517999999997,1394.9553999999994,150,target,NIFTY MIDSML HLTH,21285.539999999946,11.324639571963392,42,ha_ema21_touch,1182.1,n/a
LAURUSLABS,2026-05-04,2026-05-06,1114.06295,1182.18885,192,target,NIFTY MIDSML HLTH,13080.1728,6.115085327987968,2,ha_ema21_touch,1080.0,n/a
ADANIPOWER,2026-05-14,2026-05-26,221.08388889526552,245.45166668579654,893,target,NIFTY COMMODITIES,21760.425566944203,11.021959995499643,12,ha_ema21_touch,208.9,n/a
MANAPPURAM,2026-05-19,2026-06-10,308.8085,295.75,697,stop,NIFTY MS FIN SERV,-9101.774499999987,-4.228672462059812,22,ha_ema21_touch,295.75,initial
HINDALCO,2026-05-21,2026-06-10,1091.09,1038.4,200,stop,NIFTY METAL,-10537.999999999965,-4.829115838290132,20,ha_ema21_touch,1038.4,initial
SIEMENS,2026-05-29,2026-06-11,3913.8098999999997,3543.3,30,stop,NIFTY ENERGY,-11115.296999999988,-9.466732147619117,13,ha_ema21_touch,3543.3,initial
RBLBANK,2026-04-29,2026-06-11,328.27795,364.8338499999999,585,target,NIFTY MS FIN SERV,21385.20149999997,11.135655014295033,43,ha_ema21_touch,310.0,n/a
BHEL,2026-06-30,2026-07-03,416.81639999999993,393.85,486,stop,NIFTY ENERGY,-11161.670399999955,-5.509955942232581,3,ha_ema21_touch,393.85,initial
LAURUSLABS,2026-06-22,2026-07-03,1426.0245999999997,1550.4737999999993,155,target,NIFTY MIDSML HLTH,19289.62599999993,8.72700232520529,11,ha_ema21_touch,1363.8,n/a
HDFCAMC,2026-07-10,2026-07-14,2747.6449,2662.3,80,stop,NIFTY FINSEREXBNK,-6827.591999999968,-3.1061109825363364,4,ha_ema21_touch,2662.3,initial
GMRAIRPORT,2026-07-21,2026-07-22,111.81169999999999,109.69,1965,stop,NIFTY IND TOURISM,-4169.14049999998,-1.8975652816297317,1,ha_ema21_touch,109.69,initial
SHRIRAMFIN,2026-07-15,2026-07-24,1043.3422999999998,1007.0,210,stop,NIFTY FINSEREXBNK,-7631.882999999957,-3.4832576039522056,9,ha_ema21_touch,1007.0,initial
TVSMOTOR,2026-07-22,2026-07-31,3813.8099999999995,4287.829999999998,46,target,NIFTY AUTO,21804.919999999936,12.429040775497423,9,ha_ema21_touch,3576.8,n/a
PAYTM,2026-07-27,2026-08-03,1297.9967,1420.9900999999998,166,target,NIFTY MS FIN SERV,20416.904399999974,9.475632719251115,7,ha_ema21_touch,1236.5,n/a
