date,equity
2021-01-01,1000000.0
2021-01-04,1000000.0
2021-01-05,1000673.31
2021-01-06,1004204.19
2021-01-07,1035674.11
2021-01-08,1042957.62
2021-01-11,1039084.15
2021-01-12,1042073.8
2021-01-13,1054844.44
2021-01-14,1053964.8310005662
2021-01-15,1041465.7310005663
2021-01-18,1024186.1610005663
2021-01-19,1057945.0610005662
2021-01-20,1072972.6110005663
2021-01-21,1048303.8110005662
2021-01-22,1016214.7150607568
2021-01-25,993442.8209780292
2021-01-27,997185.5721931764
2021-01-28,982577.2221931763
2021-01-29,982770.2298492069
2021-02-01,999397.1002008435
2021-02-02,1029854.7002008435
2021-02-03,1043923.8002008435
2021-02-04,1059388.4502008434
2021-02-05,1064209.0002008434
2021-02-08,1099550.1002008435
2021-02-09,1097589.5002008434
2021-02-10,1109069.5002008434
2021-02-11,1115068.3002008433
2021-02-12,1101445.0502008435
2021-02-15,1109079.9002008433
2021-02-16,1108522.2002008434
2021-02-17,1122039.6002008433
2021-02-18,1124963.6502008433
2021-02-19,1120119.3002008435
2021-02-22,1097445.9502008436
2021-02-23,1105717.4002008436
2021-02-24,1147143.6002008435
2021-02-25,1176520.2002008436
2021-02-26,1161064.4502008436
2021-03-01,1180476.8502008435
2021-03-02,1190767.0002008434
2021-03-03,1216464.8002008435
2021-03-04,1230638.0002008437
2021-03-05,1218849.1002008435
2021-03-08,1250756.4002008433
2021-03-09,1249982.9002008433
2021-03-10,1263858.2502008434
2021-03-12,1277959.2502008434
2021-03-15,1289592.6502008433
2021-03-16,1265126.1128451456
2021-03-17,1230559.7128451457
2021-03-18,1213550.9812061961
2021-03-19,1214090.2312061961
2021-03-22,1222814.131206196
2021-03-23,1239212.7042117014
2021-03-24,1215737.1542117016
2021-03-25,1188090.1042117015
2021-03-26,1216864.9042117016
2021-03-30,1237514.4042117016
2021-03-31,1239913.1542117016
2021-04-01,1281687.1042117015
2021-04-05,1283002.4542117016
2021-04-06,1317651.8542117015
2021-04-07,1341804.2042117016
2021-04-08,1345444.8542117015
2021-04-09,1363983.8542117015
2021-04-12,1293555.221170751
2021-04-13,1321014.6411707508
2021-04-15,1324906.6473368828
2021-04-16,1339068.3273368827
2021-04-19,1323206.9073368828
2021-04-20,1333498.5473368827
2021-04-22,1357964.3673368827
2021-04-23,1359249.6873368826
2021-04-26,1387045.0473368827
2021-04-27,1404923.5273368827
2021-04-28,1404273.5373368827
2021-04-29,1454843.5673368827
2021-04-30,1455503.8173368827
2021-05-03,1496522.4073368828
2021-05-04,1490366.4073368828
2021-05-05,1513546.1973368826
2021-05-06,1544883.1373368828
2021-05-07,1601283.2973368827
2021-05-10,1625795.6573368828
2021-05-11,1613621.8873368828
2021-05-12,1567402.5273368827
2021-05-14,1512591.1854197413
2021-05-17,1561184.215419741
2021-05-18,1589045.5054197412
2021-05-19,1580928.9254197413
2021-05-20,1562502.415419741
2021-05-21,1571038.3854197413
2021-05-24,1583763.7602955182
2021-05-25,1571200.9902955182
2021-05-26,1545696.3802955183
2021-05-27,1565045.7802955182
2021-05-28,1561934.4802955184
2021-05-31,1578938.2302955184
2021-06-01,1592001.580295518
2021-06-02,1628344.1302955183
2021-06-03,1640556.7802955182
2021-06-04,1668768.6802955181
2021-06-07,1667251.7802955182
2021-06-08,1676489.5802955183
2021-06-09,1657253.0302955182
2021-06-10,1682859.6802955181
2021-06-11,1692267.1802955181
2021-06-14,1639752.8568128177
2021-06-15,1635719.6568128178
2021-06-16,1625649.8068128177
2021-06-17,1603866.1345597398
2021-06-18,1584152.145229197
2021-06-21,1598277.795229197
2021-06-22,1586153.369936157
2021-06-23,1571235.669936157
2021-06-24,1581828.469936157
